title,salary,position,working_life,education,company_name,company_type,financing_info,staff_numbers,recruiter_name,recruiter_job,release_time
高级/资深Java 中间件,18k-36k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
机器学习,15k-30k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
Android开发,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
实时计算开发工程师,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
高级自动化测试,15k-25k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
高级/资深java开发,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
高级/资深Java开发,17k-34k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
测试开发,15k-30k,上海 闵行区 莘庄,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
高级/资深前端开发-移动端方向,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
Java开发-数据服务,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,毛女士,招聘HR,暂无信息
高级性能测试工程师,15k-25k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,戴女士,招聘者,暂无信息
Android开发工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,陆先生,移动端负责人,暂无信息
iOS开发工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,陆先生,移动端负责人,暂无信息
资深策略产品经理,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,翟先生,产品,暂无信息
资深WMS产品经理,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,翟先生,产品,暂无信息
车载硬件产品经理,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
助理产品经理,10k-11k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
产品经理(用户体验),19k-30k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,程先生,HR,暂无信息
客服系统产品经理,18k-35k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,程先生,HR,暂无信息
平台产品经理,18k-36k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,程先生,HR,暂无信息
营销产品经理,18k-36k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,程先生,HR,暂无信息
策略产品经理,18k-30k,上海 闵行区 莘庄,3-5年,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,程先生,HR,暂无信息
客服中心产品经理,10k-15k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
工业设计师,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
Android高级/专家,20k-40k·14薪,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,夏先生,招聘者,暂无信息
iOS高级/专家,20k-40k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,夏先生,招聘者,暂无信息
手绘平面设计师,11k-15k,上海 闵行区 莘庄,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
高级平面设计师,10k-15k,上海 闵行区 莘庄,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
资深交互设计师,18k-19k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
IP形象设计师,16k-22k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
品牌设计专家,17k-25k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
UI设计师,18k-19k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
资深运营设计师,18k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
高级视觉设计师,13k-21k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
用户运营（高级/资深）,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
策略运营（高级/资深/专家）,15k-30k,上海  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
资深商业分析/策略分析/策略运营,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
资深用户运营/高级用户运营,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
电商运营（高级/资深）,15k-30k,上海 闵行区 莘庄,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
运营主管,10k-11k,石家庄  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
城市运营专家,15k-25k,合肥  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
城市运营专家,15k-25k,杭州 西湖区 文三,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
资深车辆运营,10k-15k,无锡  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,无锡城市群经理,暂无信息
资深车辆运营,11k-16k,南京 秦淮区 长白街,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,林先生,运营,暂无信息
资深助力车运营,10k-15k,茂名  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,楚先生,电单车运营,暂无信息
Java,25k-40k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,冯先生,Android开发工程师,暂无信息
高级测试工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,冯先生,Android开发工程师,暂无信息
城市经理（成都）,12k-18k·14薪,成都 锦江区 合江亭,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李女士,招聘者,暂无信息
城市经理/城市负责人,10k-15k,武汉 武昌区 中南路,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,汤女士,HR,暂无信息
城市经理/城市负责人,10k-15k,武汉 武昌区 中南路,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,余先生,HRBP,暂无信息
城市经理,10k-15k,临沂  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,陶先生,城市经理,暂无信息
城市经理-网约车,12k-20k,昆明  ,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
运营经理/主管,11k-20k,昆明  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,西南大区经理,暂无信息
运营经理/主管,11k-20k,桂林  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,西南大区经理,暂无信息
资深采购-电气,10k-20k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,曹先生,高级采购经理,暂无信息
行业研究,15k-30k·13薪,上海 闵行区 莘庄,3-5年,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,,研究院,暂无信息
城市负责人,10k-12k,石家庄  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
培训主管,12k-24k,杭州 下城区 朝晖,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
城市经理,12k-16k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
Java,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
架构师,30k-50k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
Java技术专家,30k-50k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
资深java开发工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,高级开发经理,暂无信息
城市经理,10k-15k,长沙 开福区 四方坪,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,车辆运营,暂无信息
哈啰出行城市经理,10k-15k,沈阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,文先生,城市负责人,暂无信息
司机,10k-15k,中山  ,1-3年,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,何先生,高级车辆运营,暂无信息
城市经理,10k-15k,武汉 硚口区 汉中,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,胡先生,高级运营,暂无信息
城市经理,10k-15k,石家庄  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,郭先生,城市经理,暂无信息
前端,15k-30k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,前端开发,暂无信息
资深政府事务,15k-25k,成都 锦江区 合江亭,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李女士,招聘者,暂无信息
车辆结构工程师,15k-25k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
品质工程师,13k-25k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,施女士,高级招聘专员,暂无信息
高级市场经理,10k-15k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,魏女士,市场经理,暂无信息
高级市场经理,10k-12k,南宁  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,魏女士,市场经理,暂无信息
商务拓展BD,10k-18k,广州 从化区 街口,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,景区事业部总经理,暂无信息
BD商务拓展,10k-15k,济南 历下区 大明湖,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,景区事业部总经理,暂无信息
BD商务拓展,10k-15k,合肥  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,景区事业部总经理,暂无信息
BD商务经理,10k-18k,杭州 下城区 朝晖,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,景区事业部总经理,暂无信息
BD商务拓展,10k-15k,南京 玄武区 珠江路,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,景区事业部总经理,暂无信息
城市经理,10k-15k,济南 历下区 解放路,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,由女士,人事主管,暂无信息
景区项目大区负责人 (MJ003941),18k-26k,石家庄  ,5-10年,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
项目经理（景区） (MJ003866),10k-15k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
市场经理（偏运营） (MJ003864),12k-23k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
资深商务拓展-高校方向 (MJ004014),10k-15k,昆明  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
资深商务拓展-高校方向 (MJ004014),10k-15k,福州  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
政府关系（云南GA）,10k-12k,昆明  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
高级PR-云南,10k-16k,昆明  ,5-10年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
政府关系,10k-20k,南宁  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,西南大区经理,暂无信息
城市经理,10k-15k,广州  ,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,崔女士,招聘负责人,暂无信息
资深车辆运营,10k-15k,南京 秦淮区 新街口,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,周先生,城市群经理,暂无信息
高级法务专员,10k-15k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王女士,hr,暂无信息
城市经理-河南,10k-15k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,马先生,团队经理,暂无信息
区域主管,10k-15k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,资深市场经理,暂无信息
测试工程师,15k-25k,上海 闵行区 莘庄,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,测试开发工程师,暂无信息
自动化测试工程师,15k-25k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,测试开发工程师,暂无信息
中间件工程师agent方向,20k-40k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,招聘者,暂无信息
货运司机,10k-13k,天津 河东区 大王庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,宋先生,区域经理,暂无信息
自动化测试,12k-24k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,测试专家,暂无信息
高级测试工程师,14k-26k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,测试专家,暂无信息
golang开发,15k-30k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,测试专家,暂无信息
城市经理,10k-15k,石家庄  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,HR,暂无信息
城市经理,10k-15k,唐山  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,HR,暂无信息
高级城市经理,10k-12k,合肥  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,吴先生,车辆运营专家,暂无信息
市场总监/经理,15k-25k,南京 秦淮区 新街口,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,吴先生,车辆运营专家,暂无信息
政府拓展,15k-30k,南京 秦淮区 新街口,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,吴先生,车辆运营专家,暂无信息
策略专家,20k-35k,上海 闵行区 莘庄,3-5年,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,蒋女士,高级运营专家,暂无信息
数据专家,25k-35k,上海 闵行区 莘庄,3-5年,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,蒋女士,高级运营专家,暂无信息
高级前端开发工程师,20k-35k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,前端开发工程师,暂无信息
中间件开发,15k-30k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,招聘者,暂无信息
货运司机,11k-12k,郑州  ,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,房先生,区域区长,暂无信息
货运司机,10k-15k,成都 新都区 新都,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,车辆运维,暂无信息
数据支持,6k-9k,天津 和平区 小白楼,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,华女士,HRBP,暂无信息
算法实习生,4k-6k,上海 闵行区 莘庄,应届生,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
流程优化主管,8k-16k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
独家数据分析,9k-14k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
数据分析,8k-15k,上海 闵行区 莘庄,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
项目经理 (MJ003927),8k-13k,上海 闵行区 莘庄,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,朱先生,HR,暂无信息
车辆运维,3k-6k,洛阳  ,1年以内,中专/中技,哈啰出行,互联网,D轮及以上,1000-9999人,马先生,团队经理,暂无信息
寒假工,4k-5k,长沙 芙蓉区 芙蓉广场,1年以内,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,邹先生,车辆运营,暂无信息
司机,10k-20k,佛山  ,1-3年,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,冯先生,运力主管,暂无信息
数据分析,10k-15k,上海 闵行区 莘庄,应届生,本科,哈啰出行,互联网,D轮及以上,1000-9999人,蒋女士,高级运营专家,暂无信息
资深数据分析师,15k-28k,上海 闵行区 莘庄,3-5年,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,蒋女士,高级运营专家,暂无信息
高级数据策略,13k-22k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,蒋女士,高级运营专家,暂无信息
平面设计,4k-9k,西安 未央区 张家堡,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,郭女士,招聘专员,暂无信息
平面设计-昆明,6k-12k,昆明  ,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,招聘,暂无信息
平面设计师管培生,2k-3k,合肥  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,徐女士,HR,暂无信息
平面设计师,6k-8k,南宁 青秀区 ,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,覃女士,市场经理,暂无信息
高级车辆运营,5k-7k,德州  ,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,杨先生,城市经理,暂无信息
运营助理/专员,6k-9k,东莞  ,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,城市经理,暂无信息
运营助理/专员,3k-5k,武汉 江岸区 后湖,经验不限,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,区域经理,暂无信息
运营助理/专员,3k-5k,武汉 江岸区 后湖,1年以内,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,区域经理,暂无信息
车辆运维,3k-4k,龙岩  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,林先生,高级车辆运营,暂无信息
车辆运营,5k-8k,包头  ,1年以内,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,运营经理,暂无信息
运营助理/专员,5k-6k,信阳  ,1年以内,本科,哈啰出行,互联网,D轮及以上,1000-9999人,代先生,城市经理,暂无信息
运营经理/主管,5k-8k,兰州  ,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,闫先生,城市经理,暂无信息
新媒体运营,3k-4k,南昌  ,应届生,大专,哈啰出行,互联网,D轮及以上,1000-9999人,蔡先生,江西市场经理,暂无信息
车辆运维,3k-4k,南宁  ,1年以内,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,城市经理,暂无信息
车辆运营,5k-10k,南宁  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,李先生,城市经理,暂无信息
用户运营,5k-10k,福州  ,经验不限,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
运营助理/专员,5k-10k,福州  ,经验不限,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
数据运营,5k-10k,福州  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
车辆运营,5k-10k,福州  ,经验不限,大专,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,经理,暂无信息
高级车辆运营,8k-10k,石家庄  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
车辆运营管理,4k-5k,石家庄  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
资深车辆运营,9k-10k,石家庄  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,苏先生,助力车运营专家,暂无信息
单车运维专员,3k-5k,重庆 沙坪坝区 大学城,1年以内,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,毛先生,高级车辆运营,暂无信息
车辆运营,5k-8k,温州  ,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,张先生,招聘者,暂无信息
车辆运营兼职,4k-6k,镇江  ,应届生,学历不限,哈啰出行,互联网,D轮及以上,1000-9999人,胡先生,招聘者,暂无信息
高级车辆运营,5k-7k,信阳  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,吴先生,车辆运营,暂无信息
运营管理,5k-8k,周口  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
运营,6k-8k,洛阳  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,范先生,大区市场经理,暂无信息
车辆运营,5k-10k,温州  ,1年以内,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,温州城市群经理,暂无信息
高级车辆运营,6k-11k,温州  ,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,温州城市群经理,暂无信息
高级运营经理,8k-13k,长沙  ,经验不限,本科,哈啰出行,互联网,D轮及以上,1000-9999人,陈先生,运营经理,暂无信息
数据运营,6k-9k,洛阳  ,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,桑先生,城市群电力主管,暂无信息
